Page, Total Adds
page_1, 32
ID, Title, Price, ProductionYear, Mileage, Power, Fuel, Link
6099829817,Mercedes-Benz Actros 1845 LS 4x2 BigSpace,29 100 EUR,2016,1 045 273 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1845-ls-4x2-bigspace-ID6EOgnT.html
6099829707,Mercedes-Benz Actros 1845 LS 4x2 BigSpace,29 500 EUR,2016,1 024 205 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1845-ls-4x2-bigspace-ID6EOgm7.html
6099642396,Mercedes-Benz 1845 LS standard bez retardera fabrycznie,69 999 EUR,2019,390 000 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-1845-ls-standard-bez-retardera-fabrycznie-bigspace-ls-2019-6xnowe-opony315-70-22-5klima-postoj-ID6ENtCY.html
6099642218,Mercedes-Benz 1845 LS standard bez retardera fabrycznie,70 000 EUR,2019,390 000 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-1845-ls-standard-bez-retardera-fabrycznie-bigspace-ls-2019-6xnowe-opony315-70-22-5klima-postoj-ID6ENtA6.html
6099828812,Mercedes-Benz Actros 1842 Low Liner,223 244 PLN,2018,455 000 km,12 800 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1842-low-liner-mercedes-benz-actros-1842-niski-przebieg-ID6EOg7G.html
6094789124,Mercedes-Benz ACTROS 1851 / MP4 / RETARDER / HYDRAULIKA DWUOBIEGOWA / EURO 6 /,129 900 PLN,2014,698 000 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1851-mp4-retarder-hydraulika-dwuobiegowa-euro-6-ID6Et74o.html
6098056244,Mercedes-Benz ACTROS 1845 - Big Space,73 500 EUR,2019,430 000 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1845-big-space-actros-1845-big-space-jeden-wlasciciel-od-nowosci-ID6EGOZS.html
6098932230,Mercedes-Benz 1845 LS standard bez retardera fabrycznie,60 000 EUR,2018,450 000 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-1845-ls-standard-bez-retardera-fabrycznie-bigspace-ls-2018-6xnowe-opony315-70-22-5klima-postoj-ID6EKuSG.html
6097825991,Mercedes-Benz ACTROS 1845,129 900 PLN,2014,811 000 km,,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1845-porzadny-stan-bogata-wersja-radar-webasto-grzany-fotel-bez-retardera-ID6EFR67.html
6099627876,Mercedes-Benz Actros 1845 Bigspace,22 900 EUR,2014,952 661 km,,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1845-bigspace-ID6ENpQM.html
6099627155,Mercedes-Benz Actros 1845 Bigspace,23 900 EUR,2014,823 851 km,,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1845-bigspace-ID6ENpF9.html
6099625810,Mercedes-Benz ACTROS 1845 BIG SPACE  SALON POLSKA,159 900 PLN,2016,700 000 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1845-big-space-salon-polska-ID6ENpjs.html
6099816311,Mercedes-Benz ACTROS 1843,145 000 PLN,2016,850 000 km,10 677 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1843-z-niemiec-hydraulika-naczepa-meiller-ID6EOcS3.html
6098157396,Mercedes-Benz ACTROS,62 500 EUR,2019,554 000 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1848-100-bezwypadkowy-stan-bardzo-dobry-i-wlasciciel-duze-zbiorni-ID6EHfjm.html
6096774800,Mercedes-Benz Actros 1853 / 2017 / BigSpace / Retarder / NAVI / Euro6 / Stan Idealny,269 600 PLN,2017,687 000 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1853-2017-bigspace-retarder-navi-euro6-stan-idealny-mercedes-actros-1853-2017-swiezo-sprowadzony-ID6EBrDq.html
6099422506,Mercedes-Benz Actros,110 000 PLN,2014,860 000 km,,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-stan-bardzo-dobry-ID6EMyqm.html
6099810459,Mercedes-Benz Actros1845,83 500 PLN,2014,980 000 km,,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros1845-ID6EOblF.html
6099794850,Mercedes-Benz 1845 LS nRL,74 900 EUR,2019,392 008 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-1845-ls-nrl-mercedes-benz-actros-modellgeneration-1-1845-ls-nrl-szm-low-liner-ID6EO7hU.html
6099567601,Mercedes-Benz actros 1845LOW DECK  | MEGA  MP4 EURO6,42 500 EUR,2017,480 000 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1845low-deck-mega-mp4-euro6-rezerwacja-bigspace-05-2017-480tkm-bez-retardera-po-serwisie-ID6ENaaB.html
6099615126,Mercedes-Benz ACTROS 1845 / 315/70 / Z FRANCJI / SPOILERY / 12/2016 / STAN BDB / / /,119 900 PLN,2016,880 000 km,,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1845-315-70-z-francji-spoilery-12-2016-stan-bdb-ID6ENmx8.html
6099120873,Mercedes-Benz ACTROS 1845,134 000 PLN,2014,970 000 km,,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1845-ID6ELhXj.html
6099806100,Mercedes-Benz Actros,300 000 PLN,2018,492 000 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-mercedes-benz-actros-1845-bigspace-lowdeck-ID6EOadm.html
6080652899,Mercedes-Benz Actros 1842,84 900 PLN,2014,1 010 571 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1842-mercedes-actros-mp4-1842-aso-polska-kontrakt-serwis-ID6DwNAL.html
6098599173,Mercedes-Benz ACTROS MP4 1848 EURO-6 MEGA/ LOW-DECK GIGA SPACE,267 000 PLN,2019,399 000 km,12 902 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-mp4-1848-euro-6-mega-low-deck-giga-space-mercedes-actros-mp4-gig-space-1848-euro-6-mega-low-deck-ID6EJ6eN.html
6098713707,Mercedes-Benz ACTROS MP4 1845 EURO-6 MEGA/ LOW-DECK,255 000 PLN,2019,400 000 km,12 902 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-mp4-1845-euro-6-mega-low-deck-mercedes-actros-mp4-big-space-1845-euro-6-mega-low-deck-ID6EJA27.html
6090621169,Mercedes-Benz 1845LS,52 000 EUR,2017,470 000 km,12 800 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-1845ls-retarder-klima-postojowa-import-niemcy-pelna-historia-ID6EbCNj.html
6096791505,Mercedes-Benz Actros 1845LS,52 000 EUR,2018,460 000 km,12 800 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1845ls-aso-stan-wzorowy-ID6EBwYR.html
